player,map,kills,deaths,damage,objMainStat
Abuzah,Invasion,11.333333333333334,15.666666666666666,3126.6666666666665,5.333333333333333
Abuzah,Karachi,17.5,20.0,4016.5,139.5
Abuzah,Rio,18.0,18.0,3781.0,85.0
Abuzah,Terminal,5.0,4.0,1726.0,1.0
Accuracy,Highrise,7.0,9.0,1224.0,3.0
Accuracy,Karachi,16.0,24.0,4096.0,4.0
Accuracy,Rio,23.0,24.0,4211.0,70.0
Afro,Highrise,17.0,11.5,3351.0,2.5
Afro,Invasion,24.0,21.0,3896.0,98.0
Afro,Karachi,12.0,18.0,2045.0,3.0
Afro,Rio,17.0,27.0,3813.0,57.0
Afro,Sub Base,11.5,16.0,2217.0,29.0
Afro,Terminal,4.0,7.0,566.0,2.0
Arcitys,Invasion,13.0,14.666666666666666,2852.3333333333335,0.3333333333333333
Arcitys,Karachi,18.0,17.0,3875.5,13.0
Arcitys,Rio,14.0,17.0,2494.0,61.0
Arcitys,Terminal,3.0,8.0,1103.0,0.0
Asim,Invasion,16.5,18.0,3539.5,1.5
Asim,Karachi,19.0,26.0,3783.0,54.0
Asim,Skidrow,28.0,16.0,3902.0,61.0
Asim,Sub Base,17.0,23.0,3325.0,48.0
Asim,Terminal,8.0,6.0,1818.0,1.0
Assault,Highrise,13.0,19.0,2931.3333333333335,3.3333333333333335
Assault,Invasion,14.0,16.666666666666668,3073.6666666666665,18.0
Assault,Sub Base,14.0,14.5,3000.0,69.0
Assault,Terminal,11.0,2.0,2191.0,2.0
Attach,Highrise,6.0,3.0,1400.0,1.0
Attach,Invasion,17.2,17.8,4009.0,9.8
Attach,Karachi,24.0,16.0,4657.0,61.5
Attach,Rio,22.5,22.5,4669.0,58.0
Breszy,Invasion,17.0,17.333333333333332,3439.6666666666665,2.0
Breszy,Karachi,17.5,23.5,3646.5,21.0
Breszy,Rio,22.0,23.0,4107.0,35.0
Breszy,Terminal,7.0,6.0,1883.0,1.0
Cellium,Highrise,17.5,14.0,3991.5,1.5
Cellium,Invasion,12.5,15.5,3235.5,46.5
Cellium,Sub Base,19.0,19.0,3827.0,37.0
Clayster,Highrise,0.0,5.0,691.0,0.0
Clayster,Invasion,16.0,26.0,3956.0,60.0
Clayster,Karachi,13.0,27.0,2602.0,4.0
CleanX,Highrise,8.0,7.0,1628.0,3.0
CleanX,Invasion,17.0,13.0,3906.0,2.5
CleanX,Karachi,18.0,11.0,3084.0,6.0
CleanX,Rio,25.0,24.0,4679.5,61.5
CleanX,Sub Base,19.0,12.0,4184.0,25.0
Dashy,Invasion,26.0,22.0,5587.0,69.0
Dashy,Karachi,15.333333333333334,10.333333333333334,3157.3333333333335,5.666666666666667
Dashy,Rio,18.0,18.0,3627.0,43.0
Dashy,Sub Base,23.0,24.0,4519.0,20.0
Dashy,Terminal,3.0,9.0,1710.0,1.0
Diamondcon,Highrise,15.666666666666666,19.666666666666668,3512.6666666666665,1.6666666666666667
Diamondcon,Invasion,17.333333333333332,20.0,3589.0,35.666666666666664
Diamondcon,Sub Base,17.0,15.5,3242.5,34.5
Diamondcon,Terminal,4.0,4.0,1049.0,1.0
Drazah,Highrise,18.0,16.5,3552.0,2.5
Drazah,Invasion,20.0,11.0,3984.5,14.5
Drazah,Sub Base,13.0,25.0,3404.0,48.0
Envoy,Highrise,9.0,8.0,2133.0,0.0
Envoy,Invasion,19.5,16.5,3177.5,3.0
Envoy,Karachi,20.0,12.0,3337.0,1.0
Envoy,Rio,27.0,25.5,4715.5,106.5
Envoy,Sub Base,13.0,12.0,2655.0,52.0
EriKBooM,Highrise,3.0,9.0,741.0,1.0
EriKBooM,Invasion,26.0,27.0,5146.0,56.0
EriKBooM,Karachi,15.5,18.5,3304.0,2.5
EriKBooM,Rio,15.5,16.0,2746.5,11.0
Estreal,Highrise,19.666666666666668,19.0,3789.3333333333335,1.3333333333333333
Estreal,Invasion,19.333333333333332,19.333333333333332,4352.666666666667,15.666666666666666
Estreal,Sub Base,21.5,19.0,3817.5,44.0
Estreal,Terminal,5.0,4.0,867.0,0.0
Fame,Highrise,19.666666666666668,21.333333333333332,3834.3333333333335,3.0
Fame,Invasion,17.333333333333332,18.333333333333332,3256.6666666666665,48.666666666666664
Fame,Sub Base,18.0,20.0,3976.5,35.5
Fame,Terminal,6.0,3.0,1043.0,1.0
FelonY,Highrise,5.0,5.0,1262.0,0.0
FelonY,Invasion,21.0,21.0,4018.0,54.0
FelonY,Karachi,23.0,21.0,4811.0,5.0
Ghosty,Highrise,19.5,12.0,3696.5,2.5
Ghosty,Invasion,22.0,21.0,5215.0,62.0
Ghosty,Karachi,20.0,13.0,4253.0,1.0
Ghosty,Rio,19.0,25.0,3679.0,86.0
Ghosty,Sub Base,16.0,15.0,3490.0,67.0
Ghosty,Terminal,3.0,6.0,788.0,0.0
Gio,Highrise,6.0,3.0,993.0,2.0
Gio,Invasion,19.4,17.0,3895.8,9.2
Gio,Karachi,22.5,18.5,4319.5,25.0
Gio,Rio,29.0,22.0,5085.5,63.0
Gwinn,Highrise,5.0,6.0,1037.0,1.0
Gwinn,Invasion,21.0,25.0,4242.0,35.0
Gwinn,Karachi,23.0,19.0,4802.0,4.0
Huke,Invasion,16.0,16.666666666666668,3632.6666666666665,2.0
Huke,Karachi,25.5,22.5,4485.5,7.5
Huke,Rio,17.0,28.0,3923.0,28.0
Huke,Terminal,5.0,8.0,898.0,1.0
HyDra,Invasion,24.0,9.0,4037.0,2.0
HyDra,Skidrow,23.0,22.0,4351.0,6.0
HyDra,Sub Base,25.0,20.0,4929.0,17.0
HyDra,Terminal,5.0,9.0,1101.0,0.0
Hydra,Karachi,8.5,12.0,1920.0,1.0
Hydra,Rio,37.0,34.0,6725.0,41.0
Hydra,Sub Base,21.0,21.0,4876.0,46.0
Hydra,Terminal,9.0,5.0,1674.0,1.0
Insight,Highrise,5.0,7.0,1712.0,0.0
Insight,Invasion,13.5,12.5,2992.0,1.5
Insight,Karachi,12.0,11.0,2311.0,2.0
Insight,Rio,24.5,21.5,4921.0,78.0
Insight,Sub Base,20.0,16.0,3995.0,41.0
Kenny,Invasion,29.0,22.0,5344.0,43.0
Kenny,Karachi,12.0,10.333333333333334,2655.3333333333335,6.0
Kenny,Rio,15.5,16.5,3179.0,41.5
Kenny,Sub Base,19.0,18.0,3479.0,130.0
Kenny,Terminal,8.0,7.0,1886.0,2.0
KiSMET,Invasion,16.0,15.0,3147.0,1.0
KiSMET,Karachi,12.0,12.0,2079.0,1.5
KiSMET,Rio,23.0,26.0,3860.0,105.0
KiSMET,Skidrow,12.0,23.0,2502.0,39.0
KiSMET,Sub Base,25.5,23.5,4675.0,68.0
KiSMET,Terminal,8.5,5.0,1543.5,0.5
Kremp,Highrise,10.0,16.0,2652.5,1.5
Kremp,Invasion,23.0,22.0,4507.0,57.0
Kremp,Karachi,6.0,17.0,1548.0,2.0
Kremp,Rio,32.0,26.0,5332.0,42.0
Kremp,Sub Base,11.5,15.0,2613.0,75.0
Kremp,Terminal,3.0,6.0,929.0,1.0
Lucky,Highrise,15.0,4.0,2187.0,1.0
Lucky,Invasion,27.0,22.0,4080.0,59.0
Lucky,Karachi,16.5,18.5,3311.5,5.0
Lucky,Rio,15.0,15.0,3006.0,52.5
Lyynnz,Highrise,7.0,9.0,1606.0,0.0
Lyynnz,Karachi,24.0,22.0,3962.0,1.0
Lyynnz,Rio,24.0,26.0,4012.0,7.0
MettalZ,Highrise,9.0,7.0,2301.0,3.0
MettalZ,Invasion,16.0,33.0,4029.0,0.0
MettalZ,Karachi,17.5,21.0,3638.5,3.0
MettalZ,Rio,15.5,15.5,3063.5,47.0
Nastie,Highrise,11.5,14.0,2568.5,3.5
Nastie,Invasion,25.0,19.0,4217.0,44.0
Nastie,Karachi,7.0,17.0,2093.0,1.0
Nastie,Rio,22.0,27.0,5245.0,56.0
Nastie,Sub Base,20.5,17.5,3696.0,34.0
Nastie,Terminal,3.0,7.0,806.0,0.0
Nero,Highrise,7.0,4.0,931.0,1.0
Nero,Invasion,17.2,17.4,3516.4,20.4
Nero,Karachi,17.0,20.0,3564.5,69.0
Nero,Rio,21.0,20.0,3699.5,100.5
Owakening,Highrise,5.0,7.0,1561.0,0.0
Owakening,Karachi,18.0,21.0,5043.0,5.0
Owakening,Rio,16.0,25.0,4046.0,57.0
Pred,Invasion,29.0,20.0,4743.0,40.0
Pred,Karachi,14.333333333333334,12.333333333333334,2817.3333333333335,2.3333333333333335
Pred,Rio,12.5,16.5,2590.5,14.5
Pred,Sub Base,27.0,19.0,5164.0,31.0
Pred,Terminal,5.0,7.0,834.0,1.0
Priestahh,Invasion,15.5,14.0,3008.5,2.5
Priestahh,Karachi,19.0,23.0,3565.0,27.0
Priestahh,Skidrow,17.0,15.0,3341.0,89.0
Priestahh,Sub Base,20.0,23.0,4120.0,12.0
Priestahh,Terminal,5.5,6.0,1517.0,1.5
Purj,Highrise,4.0,6.0,1333.0,1.0
Purj,Invasion,16.8,16.6,3667.4,20.2
Purj,Karachi,23.5,19.0,3703.5,13.5
Purj,Rio,20.0,22.5,3667.5,51.0
Scrap,Highrise,4.0,7.0,1218.0,2.0
Scrap,Invasion,18.0,16.5,4881.5,1.0
Scrap,Karachi,15.0,11.0,3147.0,2.0
Scrap,Rio,27.5,23.5,5253.5,78.5
Scrap,Sub Base,22.0,10.0,3518.0,135.0
Shotzzy,Invasion,21.0,25.0,4257.0,107.0
Shotzzy,Karachi,14.333333333333334,11.0,2439.6666666666665,5.0
Shotzzy,Rio,23.0,18.5,3958.0,40.0
Shotzzy,Sub Base,20.0,22.0,3510.0,91.0
Shotzzy,Terminal,3.0,8.0,916.0,0.0
Sib,Invasion,13.0,15.0,3338.0,1.0
Sib,Karachi,14.0,12.5,3247.5,1.5
Sib,Rio,33.0,24.0,6057.0,84.0
Sib,Skidrow,13.0,18.0,2103.0,28.0
Sib,Sub Base,24.5,19.5,4395.5,72.5
Sib,Terminal,5.0,6.5,1423.5,1.5
Simp,Highrise,22.5,16.5,4172.0,2.0
Simp,Invasion,19.0,16.5,3593.0,24.0
Simp,Sub Base,24.0,21.0,3975.0,18.0
Skyz,Invasion,15.0,14.0,3371.0,0.0
Skyz,Karachi,9.0,12.5,2173.5,0.0
Skyz,Rio,25.0,23.0,5773.0,58.0
Skyz,Skidrow,14.0,17.0,3142.0,61.0
Skyz,Sub Base,16.0,20.0,3230.5,67.0
Skyz,Terminal,8.5,5.5,1751.0,2.5
SlasheR,Invasion,8.5,11.0,1955.5,2.0
SlasheR,Karachi,27.0,17.0,5063.0,58.0
SlasheR,Skidrow,15.0,17.0,3503.0,41.0
SlasheR,Sub Base,19.0,23.0,4034.0,38.0
SlasheR,Terminal,8.5,5.5,1986.5,3.0
Snoopy,Invasion,14.0,15.5,2720.0,2.5
Snoopy,Karachi,21.0,18.0,4039.0,117.0
Snoopy,Skidrow,20.0,14.0,3073.0,100.0
Snoopy,Sub Base,22.0,26.0,4228.0,62.0
Snoopy,Terminal,5.0,6.0,1259.5,0.0
TJHaly,Highrise,6.0,7.0,1440.0,1.0
TJHaly,Invasion,26.0,27.0,4800.0,11.0
TJHaly,Karachi,15.0,27.0,3136.0,2.0
Vikul,Highrise,6.0,7.0,1514.0,1.0
Vikul,Invasion,20.0,23.0,4258.0,51.0
Vikul,Karachi,19.0,17.5,3309.5,4.5
Vikul,Rio,16.0,14.0,3017.0,51.0
Vivid,Highrise,8.0,8.0,2151.0,1.0
Vivid,Karachi,23.0,25.0,4477.0,2.0
Vivid,Rio,26.0,28.0,4931.0,36.0
aBeZy,Highrise,17.0,16.0,3052.5,1.5
aBeZy,Invasion,12.5,17.5,2652.5,43.5
aBeZy,Sub Base,13.0,23.0,2916.0,37.0
