School,Location,Division,,,East 1 ,Week 1 - Jan 29 to Feb 4,,
Ohio University,"OH, USA",East 4,Division Prizing,,,AWAY (TEAM B),HOME (TEAM A),Result
Illinois State University ,"IL, USA",East 3,"$1,500.00",,,York University ,University of Windsor,0-3
Arkansas State University,"AR, USA",Central 1,Playoffs,,,University of Windsor,Carleton University,
Oklahoma State University,"OK, USA",Central 2,"$1,200.00",,,OTSU Esports ,Brock University,1-3
San Jose State (Blue),"CA, USA",West 1,Opens,,,,,
San Jose State (gold),"CA, USA",West 2,$300.00,,,Carleton University,OTSU Esports ,
University of Windsor,"ON, CA",East 1,,,,Brock University,York University ,3-0
CSU Fullerton Orange,"CA, USA",West 1,,,,,,
Carleton University,"ON, CA",East 1,,,,,,
Kennesaw State University,"GA, USA",East 5,,,East 2,Rochester Institute of Technology (RIT Orange),Indiana University of Pennsylvania,0-3
University of Oregon,"OR, USA",West 2,,,,University of Ottawa,Conestoga College (Academy White),
CSULB Gold,"CA, USA",West 1,,,,Western University Main,Western University ACAD,3-0
Texas A&M University,"TX, USA",Central 1,,,,,,
OTSU Esports ,"ON, CA",East 1,,,,Indiana University of Pennsylvania,University of Ottawa,
Night Owls(FAU),"FL, USA",East 5,,,,Conestoga College (Academy White),Western University Main,0-3
York University ,"ON, CA",East 1,,,,Western University ACAD,Rochester Institute of Technology (RIT Orange),3-0
Liberty University,"VI, USA",East 3,,,,,,
University of Texas at Arlington 1,"TX, USA",Central 2,,,,,,
Ferris State University,"MI, USA",East 3,,,East 3,Illinois State University ,Liberty University,3-0
Brock University,"ON, CA",East 1,,,,Ferris State University,Adrian College,0-3
CSULA Black,"CA, USA",West 2,,,,,,
Indiana University of Pennsylvania,"PA, USA",East 2,,,,Liberty University,Ferris State University,3-0
Adrian College,"MI, USA",East 3,,,,Adrian College,Southern Illinois University Edwardsville,
Florida Polytechnic University,"FL, USA",East 5,,,,Southern Illinois University Edwardsville,Illinois State University ,3-1
University of Ottawa,"ON, CA",East 2,,,,,,
Miami University of Ohio,"OH, USA",East 4,,,,,,
University of Arizona,"AZ, USA",West 2,,,East 4,Miami University of Ohio,American Public University ,
American Public University ,"WV, USA",East 4,,,,UC RED (Cincinnati),UC BLACK (Cincinnati),3-1
UC RED (Cincinnati),"OH, USA",East 4,,,,Marshall University,Ohio University,0-3
UC BLACK (Cincinnati),"OH, USA",East 4,,,,,,
California State University of Northridge Academy,"CA, USA",West 1,,,,,,
Texas State University,"TX, USA",Central 1,,,,American Public University ,UC RED (Cincinnati),
Southern Illinois University Edwardsville,"IL, USA",East 3,,,,UC BLACK (Cincinnati),Marshall University,1-3
University of Texas at Arlington 2,"TX, USA",Central 2,,,,Ohio University,Miami University of Ohio,3-1
Conestoga College (Academy White),"ON, CA",East 2,,,,,,
University of Northern Iowa ,"IOWA, USA",Central 1,,,,,,
Marshall University,"WV, USA",East 4,,,East 5,Kennesaw State University,Night Owls(FAU),
University of Texas at San Antonio (UTSA),"TX, USA",Central 2,,,,Florida Polytechnic University,UCF Knights Gray,
"University of Tennessee, Knoxville","TN, USA",Central 1,,,,University of Alabama,UCF Knights Academy,0-3
Minnesota State University Moorhead,"MN, USA",Central 2,,,,,,
University of Iowa,"IOWA, USA",Central 1,,,,Night Owls(FAU),Florida Polytechnic University,
Western University Main,"ON, CA",East 2,,,,UCF Knights Gray,University of Alabama,0-3
Western University ACAD,"ON, CA",East 2,,,,UCF Knights Academy,Kennesaw State University,1-3
UCF Knights Gray,"FL, USA",East 5,,,,,,
CSUSB Acad ,"CA, USA",West 2,,,,,,
San Diego State,"CA, USA",West 1,,,Central 1,Arkansas State University,Texas A&M University,0-3
Texas A&M White,"TX, USA",Central 2,,,,Texas State University,University of Northern Iowa ,
CSULB Black,"CA, USA",West 2,,,,"University of Tennessee, Knoxville",University of Iowa,
University of Alabama,"AL, USA",East 5,,,,,,
UCF Knights Academy,"FL, USA",East 5,,,,Texas A&M University,Texas State University,
Rochester Institute of Technology (RIT Orange),"NY, USA",East 2,,,,University of Northern Iowa ,"University of Tennessee, Knoxville",3-0
,,,,,,University of Iowa,Arkansas State University,3-0
,,,,,,,,
,,,,,,,,
,,,,,Central 2,Oklahoma State University,University of Texas at Arlington 1,1-3
,,,,,,University of Texas at Arlington 2,University of Texas at San Antonio (UTSA),2-3
,,,,,,Minnesota State University Moorhead,Texas A&M White,
,,,,,,,,
,,,,,,University of Texas at Arlington 1,University of Texas at Arlington 2,
,,,,,,University of Texas at San Antonio (UTSA),Minnesota State University Moorhead,
,,,,,,Texas A&M White,Oklahoma State University,1-3
,,,,,,,,
,,,,,,,,
,,,,,West 1,San Jose State (Blue),CSU Fullerton Orange,
,,,,,,CSULB Gold,California State University of Northridge Academy,3-1
,,,,,,,,
,,,,,,San Diego State,San Jose State (Blue),
,,,,,,CSU Fullerton Orange,CSULB Gold,2-3
,,,,,,California State University of Northridge Academy,San Diego State,3-0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,West 2,San Jose State (gold),University of Oregon,3-1
,,,,,,CSULA Black,University of Arizona,
,,,,,,CSUSB Acad ,CSULB Black,
,,,,,,,,
,,,,,,University of Oregon,CSULA Black,0-3
,,,,,,University of Arizona,CSUSB Acad ,
,,,,,,CSULB Black,San Jose State (gold),